order_id,customer_id,product_id,category,quantity,unit_price,order_date,city,order_status
O2001,C201,P601,Electronics,1,30000,2026-06-05,Kakinada,COMPLETED
O2002,C202,P602,Fashion,2,1500,2026-06-08,Vizag,COMPLETED
O2003,C203,P603,Grocery,5,500,2026-06-12,Kakinada,CANCELLED
O2004,C204,P604,Electronics,3,20000,2026-06-18,Vizag,COMPLETED
O2005,C205,P605,Fashion,4,2500,2026-06-25,Kakinada,COMPLETED
O2006,C206,P606,Electronics,2,28000,2026-07-03,Vizag,COMPLETED
O2007,C207,P607,Fashion,1,1800,2026-07-10,Kakinada,CANCELLED
O2008,C208,P608,Grocery,6,600,2026-07-15,Vizag,COMPLETED
O2009,C209,P609,Electronics,2,35000,2026-07-20,Kakinada,COMPLETED
O2010,C210,P610,Fashion,3,2200,2026-07-28,Vizag,COMPLETED

