order_id,customer_id,order_date,shipping_city,payment_method,order_status,order_amount
1001,C101,2026-08-10,Ahmedabad,UPI,PLACED,850
1002,C102,2026-08-10,Mumbai,CARD,SHIPPED,1200
1003,C103,2026-08-11,Delhi,COD,DELIVERED,650
1004,C104,2026-08-11,Ahmedabad,UPI,CANCELLED,900
1005,C105,2026-08-12,Pune,CARD,DELIVERED,1450
1006,C106,2026-08-12,Mumbai,UPI,PLACED,780
1007,C107,2026-08-13,Delhi,CARD,SHIPPED,1100
1008,C108,2026-08-13,Ahmedabad,COD,DELIVERED,560
1009,C109,2026-08-14,Pune,UPI,PLACED,990
1010,C110,2026-08-14,Mumbai,CARD,DELIVERED,1750
